gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
94572532	b929f23d-290f-4e85-8f17-764c55b3b284	848a8a23-9cf0-43ad-9c43-fe0dd526d599	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Perimyotis	Perimyotis subflavus		SPECIES	Pipistrellus subflavus (F.Cuvier, 1832)	Pipistrellus subflavus		US			PRESENT		90cc71b0-055b-11d8-b84e-b8a03c50a862													5218474	7665644	PRESERVED_SPECIMEN	BPBM	VZ-BBM-X	145762				CC0_1_0	Bernice Pauahi Bishop Museum	W W Baker			2026-03-03T20:29:39.431Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
94572529	b929f23d-290f-4e85-8f17-764c55b3b284	5c8941b1-576f-4154-b9a1-4e3eb587c26d	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Perimyotis	Perimyotis subflavus		SPECIES	Pipistrellus subflavus (F.Cuvier, 1832)	Pipistrellus subflavus		US			PRESENT		90cc71b0-055b-11d8-b84e-b8a03c50a862													5218474	7665644	PRESERVED_SPECIMEN	BPBM	VZ-BBM-X	145761				CC0_1_0	Bernice Pauahi Bishop Museum	W W Baker			2026-03-03T20:29:35.825Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
94572525	b929f23d-290f-4e85-8f17-764c55b3b284	25e4cf65-204c-4f84-b58e-d79a2752005e	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Perimyotis	Perimyotis subflavus		SPECIES	Pipistrellus subflavus (F.Cuvier, 1832)	Pipistrellus subflavus		US			PRESENT		90cc71b0-055b-11d8-b84e-b8a03c50a862													5218474	7665644	PRESERVED_SPECIMEN	BPBM	VZ-BBM-X	145760				CC0_1_0	Bernice Pauahi Bishop Museum	W W Baker			2026-03-03T20:29:32.131Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
94572520	b929f23d-290f-4e85-8f17-764c55b3b284	9c47815c-cab7-4b36-b9fe-2e7acfac2a00	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Perimyotis	Perimyotis subflavus		SPECIES	Pipistrellus subflavus (F.Cuvier, 1832)	Pipistrellus subflavus		US			PRESENT		90cc71b0-055b-11d8-b84e-b8a03c50a862													5218474	7665644	PRESERVED_SPECIMEN	BPBM	VZ-BBM-X	145759				CC0_1_0	Bernice Pauahi Bishop Museum	W W Baker			2026-03-03T20:29:37.834Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
94572516	b929f23d-290f-4e85-8f17-764c55b3b284	ba765ce9-ab85-4161-84da-6e8ec04b7617	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Perimyotis	Perimyotis subflavus		SPECIES	Pipistrellus subflavus (F.Cuvier, 1832)	Pipistrellus subflavus		US			PRESENT		90cc71b0-055b-11d8-b84e-b8a03c50a862													5218474	7665644	PRESERVED_SPECIMEN	BPBM	VZ-BBM-X	145758				CC0_1_0	Bernice Pauahi Bishop Museum	W W Baker			2026-03-03T20:29:38.203Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
94572514	b929f23d-290f-4e85-8f17-764c55b3b284	7a80aa7b-208f-4668-9509-dcabae5b5035	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Perimyotis	Perimyotis subflavus		SPECIES	Pipistrellus subflavus (F.Cuvier, 1832)	Pipistrellus subflavus		US			PRESENT		90cc71b0-055b-11d8-b84e-b8a03c50a862													5218474	7665644	PRESERVED_SPECIMEN	BPBM	VZ-BBM-X	145757				CC0_1_0	Bernice Pauahi Bishop Museum	W W Baker			2026-03-03T20:29:38.314Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
94572507	b929f23d-290f-4e85-8f17-764c55b3b284	7b7c74f9-a3c1-4505-b26a-0e122463503f	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Perimyotis	Perimyotis subflavus		SPECIES	Pipistrellus subflavus (F.Cuvier, 1832)	Pipistrellus subflavus		US			PRESENT		90cc71b0-055b-11d8-b84e-b8a03c50a862													5218474	7665644	PRESERVED_SPECIMEN	BPBM	VZ-BBM-X	145756				CC0_1_0	Bernice Pauahi Bishop Museum	W W Baker			2026-03-03T20:29:37.713Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
919972821	acede617-a095-4caa-a93e-4a77f5f77935	urn:catalog:UAFMC:Mammals:0082-0054-0203	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Perimyotis	Perimyotis subflavus		SPECIES	Pipistrellus subflavus (F.Cuvier, 1832)	Pipistrellus subflavus		US	COON CAVE, 8 MI SW BLOOMINGTON	Indiana	PRESENT	1	9a367b8c-22dd-402d-9161-d3c64c6d6a94									1936-11-19	19	11	1936	5218474	7665644	PRESERVED_SPECIMEN	UAFMC	Mammals	0082-0054-0203		SEALANDER J A		CC0_1_0		BLACK J D		native	2026-03-03T19:34:15.880Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
919972808	acede617-a095-4caa-a93e-4a77f5f77935	urn:catalog:UAFMC:Mammals:0082-0054-0204	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Perimyotis	Perimyotis subflavus		SPECIES	Pipistrellus subflavus (F.Cuvier, 1832)	Pipistrellus subflavus		US	COON CAVE, 8 MI SW BLOOMINGTON	Indiana	PRESENT	1	9a367b8c-22dd-402d-9161-d3c64c6d6a94									1936-11-19	19	11	1936	5218474	7665644	PRESERVED_SPECIMEN	UAFMC	Mammals	0082-0054-0204				CC0_1_0		SEALANDER J A		native	2026-03-03T19:34:15.880Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
919972807	acede617-a095-4caa-a93e-4a77f5f77935	urn:catalog:UAFMC:Mammals:0082-0054-0211	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Perimyotis	Perimyotis subflavus		SPECIES	Pipistrellus subflavus (F.Cuvier, 1832)	Pipistrellus subflavus		US	COON CAVE, 8 MI SW BLOOMINGTON	Indiana	PRESENT	1	9a367b8c-22dd-402d-9161-d3c64c6d6a94									1936-11-19	19	11	1936	5218474	7665644	PRESERVED_SPECIMEN	UAFMC	Mammals	0082-0054-0211				CC0_1_0		SEALANDER J A		native	2026-03-03T19:34:15.878Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
