site_num,site,date,type,timing,length_m,Latitude,Longitide,utmN,roost,species,age,sex,repro_status,mass,FA,Pd_area,Pd_known,vis_WNS,bat_temp,WDI,band_num,band_type,year
24,Statesboro Occupied Site Pair,12/3/2020,Culvert,Early,,32.238912,-81.677041,3567118.137,HC,PESU,A,F,NR,6.32,35.67,Pd_neg,,No,14.9,0,GA2053,New,2021
27,Savannah Culvert,12/2/2020,Culvert,Early,,31.869735,-81.334284,3526044.971,WH,PESU,A,F,NR,7,34,Pd_neg,,No,,0,GA0564,New,2021
27,Savannah Culvert,12/2/2020,Culvert,Early,,31.869735,-81.334284,3526044.971,WH,PESU,A,F,NR,7,35,Pd_neg,,No,,0,GA0566,New,2021
27,Savannah Culvert,12/2/2020,Culvert,Early,,31.869735,-81.334284,3526044.971,WH,PESU,A,F,NR,6,33,Pd_neg,,No,,0,GA0568,New,2021
27,Savannah Culvert,12/2/2020,Culvert,Early,,31.869735,-81.334284,3526044.971,,PESU,A,F,NR,7.5,36,Pd_neg,,No,,0,GA0569,New,2021
27,Savannah Culvert,12/2/2020,Culvert,Early,,31.869735,-81.334284,3526044.971,,PESU,A,F,NR,9.5,35,Pd_neg,,No,,0,GA0570,New,2021
27,Savannah Culvert,12/2/2020,Culvert,Early,,31.869735,-81.334284,3526044.971,,PESU,A,F,NR,7,33,Pd_neg,,No,,0,GA0571,New,2021
27,Savannah Culvert,12/2/2020,Culvert,Early,,31.869735,-81.334284,3526044.971,,PESU,A,F,NR,6.5,33,Pd_neg,,No,,0,GA0572,New,2021
27,Savannah Culvert,12/2/2020,Culvert,Early,,31.869735,-81.334284,3526044.971,,PESU,A,F,NR,6.5,34,Pd_neg,,No,,0,GA0574,New,2021
27,Savannah Culvert,3/4/2021,Culvert,Late,,31.869735,-81.334284,3526044.971,WH,PESU,A,F,NR,4.99,33.99,Pd_neg,,No,12,0,GA0564,Recap,2021
27,Savannah Culvert,3/4/2021,Culvert,Late,,31.869735,-81.334284,3526044.971,WH,PESU,A,F,NR,5.17,33.14,Pd_neg,,No,11.5,0,GA2305,New,2021
